ZCTA5_FIPS,ZCTA5_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
80550,30519,4,7,16,5,19,13,13,11,-1.6350869,0.03736965,0.072143599,0.025742671,0.20911805,0.027171904,0.17134935,0.006469501
80601,40766,48,33,44,66,32,56,80,43,-0.089190431,0.083068162,0.11629669,0.132902,0.27123022,0.038293216,0.35386059,0.051344171
80602,36262,3,9,8,21,7,2,6,6,-1.7043122,0.042860694,0.056130286,0.05187688,0.19217248,0.014791882,0.073185414,0.003181975
80603,13935,31,35,49,67,7,9,52,18,-0.57058525,0.086026199,0.12410567,0.13563569,0.22543038,0.014596901,0.14933753,0.023130475
80610,3410,53,49,29,85,30,50,73,57,0.072033122,0.11271336,0.092572659,0.20236531,0.29522911,0.03634895,0.32552505,0.039579969
80611,1181,9,4,10,38,7,29,12,54,-1.3805132,0.029812606,0.059649121,0.077551022,0.28936744,0.015015015,0.24624625,0.006006006
80612,315,28,67,23,33,72,2,1,96,-0.67389143,0.15555556,0.083333336,0.069230773,0.45962733,0.083333336,0.076388888,0
80615,8291,17,12,14,61,35,14,8,11,-1.0472674,0.047578692,0.06807325,0.12122798,0.20846362,0.040589198,0.17905074,0.003927987
80620,19622,71,68,86,83,27,66,78,26,0.6249575,0.15700695,0.2055371,0.19522704,0.24132444,0.033869732,0.40076628,0.046896551
80621,12762,41,18,33,86,40,27,77,46,-0.27292851,0.058459368,0.098871931,0.20829244,0.2748675,0.044859812,0.23925234,0.044859812
80622,170,35,26,1,83,1,49,1,80,-0.47724923,0.070588239,0,0.19266056,0.35643566,0,0.32142857,0
80623,938,34,13,68,92,65,20,1,38,-0.48977953,0.049126636,0.15546219,0.25370675,0.26139817,0.071186438,0.20677966,0
80624,1132,50,60,1,72,35,73,1,37,-0.021998631,0.1369258,0,0.14918415,0.25967541,0.040760871,0.44293478,0
80631,55872,92,89,81,90,64,83,88,89,1.3774995,0.24332421,0.18913336,0.23932993,0.39697143,0.070308462,0.52070767,0.073869839
80634,59702,30,35,31,45,32,40,31,30,-0.60214949,0.086119317,0.095581144,0.088338263,0.24819544,0.038352776,0.28928065,0.01387416
80640,12991,43,43,70,80,18,10,62,19,-0.22181767,0.10113055,0.16176471,0.17830859,0.22716963,0.026035834,0.1556551,0.029395297
80642,5468,24,36,34,62,6,22,12,19,-0.79697555,0.087841555,0.10053313,0.12362269,0.22718337,0.013363029,0.21547884,0.006124721
80643,3947,24,44,45,39,10,6,54,48,-0.82332468,0.10257063,0.11775529,0.079732917,0.2798717,0.018444266,0.12349639,0.024057738
80644,3121,50,54,13,78,15,54,81,48,-0.004427539,0.1235162,0.065710872,0.17006803,0.27986008,0.023188407,0.34589371,0.05410628
